;RUT;RAZON_SOCIAL;RUBRO;SUBRUBRO;ACTIVIDADES_ECONOMICAS;REGION;COMUNA;CIUDAD;TIPO_CONTRIBUYENTE;CONTACTO;CORREO;TELEFONO;SITIO_WEB
11;96.955.710-K;Soc Seguridad Del Norte S A;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER;ACT. EMPRESARIALES Y DE PROFESIONALES PRESTADAS A EMPRESAS N.C.P.;"SERVICIOS DE RECLUTAMIENTO DE PERSONAL.
VIGILANTES Y GUARDIAS.
GUARDIAS DE SEGURIDAD.
SEGURIDAD INDUSTRIAL.";XV REGION ARICA Y PARINACOTA;ARICA;ARICA;PERSONA JURIDICA COMERCIAL;Ximena Tejada Ovalle;arica@gmail.com;"
56582253866
56954009920
56998468345
56954170624";
12;96.955.610-3;Inversiones Pueblos Originarios Sociedad Anonima;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES CONEXOS;"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.C.P..
AIRE ACONDICIONADO PARA CAMIONES.";X REGION LOS LAGOS;PUERTO MONTT;ALERCE;PERSONA JURIDICA COMERCIAL;null;;56652272073;
13;96.953.530-0;SQBIDUU SPA;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;COMERCIO AL POR MENOR NO REALIZADO EN ALMACENES;VENTA AL POR MENOR EN EMPRESAS DE VENTA A DISTANCIA VIA INTERNET, COMERCIO ELECTRONICO.;XIII REGION METROPOLITANA;VITACURA;PERSONA JURIDICA COMERCIAL;SOCIEDAD POR ACCIONES;;;;
14;96.953.520-3;Hay Group Limitada;INTERMEDIACION FINANCIERA;OTROS TIPOS DE INTERMEDIACION FINANCIERA;"SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERAL.
ASESORIAS INMOBILIARIAS.";XIII REGION METROPOLITANA;LAS CONDES;SANTIAGO;PERSONA JURIDICA COMERCIAL;null;;56223213000;www.haygroup.com
15;96.953.280-8;Europharma Chile S.a.;PESCA;EXPLT. DE CRIADEROS DE PECES Y PROD. DEL MAR, SERVICIOS RELACIONADOS;"SERVICIOS RELACIONADOS CON LA ACUICULTURA, NO INCLUYE SERVICIOS PROFESIONALES Y DE EXTRACCION.
FARMACIAS.
PRODUCTOS FARMACEUTICOS.";X REGION LOS LAGOS;PUERTO MONTT;PUERTO MONTT;PERSONA JURIDICA COMERCIAL;Novella Taglioni;;"
56652772930
56979587393
56652772938";www.europharma.cl
16;96.952.720-0;DESARROLLO INMOBILIARIO NOVA TERRA S A;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O ARRENDADOS.;XIII REGION METROPOLITANA;HUECHURABA;PERSONA JURIDICA COMERCIAL;SOCIEDADES ANONIMAS CERRADAS;;;;
17;96.952.510-0;Soc De Comunicaciones Sociales San Bartolome S.a.;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;VENTA AL POR MAYOR DE ENSERES DOMESTICOS;"VENTA AL POR MAYOR DE REVISTAS Y PERIODICOS.
RADIOCOMUNICACIONES.";IV REGION COQUIMBO;LA SERENA;COQUIMBO;PERSONA JURIDICA COMERCIAL;null;;56512212247;
18;96.952.340-K;Petroleum Test Lab S.a.;ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES TECNICAS;"SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P..
ESTANQUES PARA COMBUSTIBLES.";XIII REGION METROPOLITANA;COLINA;SANTIAGO;PERSONA JURIDICA COMERCIAL;Sergio Flores;flores@petrolab.cl;56224435186;www.petrolab.cl
19;96.951.870-8;Bionet S.a.;SERVICIOS SOCIALES Y DE SALUD;ACTIVIDADES RELACIONADAS CON LA SALUD HUMANA;"LABORATORIOS CLINICOS, INCLUYE BANCOS DE SANGRE.
LABORATORIOS CLINICOS.";XIII REGION METROPOLITANA;PROVIDENCIA;VIñA DEL MAR;PERSONA JURIDICA COMERCIAL;Daniel Soto;;56322978830;
20;96.951.650-0;Petrus Ingenieros S.a.;CONSTRUCCION;CONSTRUCCION;"PREPARACION DEL TERRENO, EXCAVACIONES Y MOVIMIENTOS DE TIERRAS.
INGENIEROS DE SUELOS.";XIII REGION METROPOLITANA;PROVIDENCIA;SANTIAGO;PERSONA JURIDICA COMERCIAL;Claudio Gotcha;;56222320626;www.petrus.cl
21;96.951.580-6;Airbus Helicopters Chile S.p.a.;INDUSTRIAS MANUFACTURERAS METALICAS;FABRICACION DE AERONAVES Y NAVES ESPACIALES, SUS REPARACIONES;"REPARACION DE AERONAVES Y NAVES ESPACIALES.
SERVICIOS AEREOS.";XIII REGION METROPOLITANA;LA REINA;SANTIAGO;PERSONA JURIDICA COMERCIAL;Jean - Edouard Drouault;chile@eurocopter.net;"
56224134300
56224134338";www.eurocopter.cl
22;96.951.490-7;Novasalud Com S A;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;COMERCIO AL POR MENOR NO ESPECIALIZADO EN ALMACENES;"VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS.
FARMACIAS.";XIII REGION METROPOLITANA;SANTIAGO;SANTIAGO;PERSONA JURIDICA COMERCIAL;Jeanette Villalobos Segura;;"
56225990020
56225990000";www.novasalud.com
23;96.951.450-8;Festo S A;INDUSTRIAS MANUFACTURERAS METALICAS;FAB. DE OTROS PROD. ELABORADOS DE METAL, ACT. DE TRABAJO DE METALES;"FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P..
VALVULAS.
AUTOMATIZACION INDUSTRIAL.";XIII REGION METROPOLITANA;PUDAHUEL;VALDIVIA;PERSONA JURIDICA COMERCIAL;Robert Kirchgaesnerh;chile@cl.festo.com  launch;56982306876;
24;96.950.890-7;Importadora Y Comercializadora Cdc S.a.;COMERCIO AL POR MAYOR Y MENOR, REP. VEH.AUTOMOTORES/ENSERES DOMESTICOS;VENTA AL POR MAYOR DE OTROS PRODUCTOS;"VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P..
SEGURIDAD INDUSTRIAL.";XIII REGION METROPOLITANA;CERRILLOS;SANTIAGO;PERSONA JURIDICA COMERCIAL;Cristian Daly Cousiño;cdaly@vtr.net;"
56226843849
56226832003";www.cdcimport.cl
25;96.950.600-9;Infracon S.a.;CONSTRUCCION;CONSTRUCCION;"CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS.
CONSTRUCCION DE EDIFICIOS.
FINANCIERAS.
ARRIENDO DE PROPIEDADES.";XIII REGION METROPOLITANA;PROVIDENCIA;SANTIAGO;PERSONA JURIDICA COMERCIAL;null;;56226336929;
26;96.949.910-K;Elogoss.a.;OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIAS, SOCIALES Y PERSONALES;OTRAS ACTIVIDADES DE SERVICIOS;"OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P..
COMPUTACION.";XIII REGION METROPOLITANA;PROVIDENCIA;SANTIAGO;PERSONA JURIDICA COMERCIAL;Daniel Wilner;;56225954700;www.elogos.cl
